estate,emp_score,emp_band,t_cbd,t_jld,t_one_north,t_changi,t_woodlands_rc,best_node,worst_node,s_cbd,s_jld,s_one_north,s_changi,s_woodlands_rc
DOVER,4.38,B+,15,18,12,45,50,one_north,woodlands_rc,5.0,4.5,5.0,3.0,2.0
QUEENSTOWN,4.38,B+,12,22,15,42,50,cbd,woodlands_rc,5.0,4.5,5.0,3.0,2.0
CLEMENTI,4.3,B+,22,12,12,42,48,jld,woodlands_rc,4.5,5.0,5.0,3.0,2.0
BUKIT MERAH,4.17,B+,12,30,20,38,48,cbd,woodlands_rc,5.0,4.0,4.5,3.0,2.0
BUKIT BATOK,4.12,B+,33,15,22,52,30,jld,changi,4.0,5.0,4.5,2.0,4.0
GEYLANG,4.03,B+,15,38,25,30,47,cbd,woodlands_rc,5.0,3.0,4.5,4.0,2.0
JURONG EAST,3.92,B,30,5,18,52,52,jld,changi,4.0,5.0,4.5,2.0,2.0
BUKIT TIMAH,3.9,B,28,25,20,48,45,one_north,changi,4.0,4.5,4.5,2.0,3.0
BOON KENG,3.85,B,18,43,35,35,42,cbd,jld,4.5,3.0,4.0,4.0,3.0
BEDOK,3.75,B,22,42,35,27,50,cbd,woodlands_rc,4.5,3.0,4.0,4.0,2.0
MARINE PARADE,3.75,B,18,38,28,32,50,cbd,woodlands_rc,4.5,3.0,4.0,4.0,2.0
SERANGOON,3.6,B,25,50,35,35,40,cbd,jld,4.5,2.0,4.0,4.0,3.0
BISHAN,3.6,B,25,48,30,45,33,cbd,jld,4.5,2.0,4.0,3.0,4.0
TOA PAYOH,3.5,B,22,50,32,47,35,cbd,jld,4.5,2.0,4.0,2.0,4.0
WOODLEIGH,3.45,C,22,47,38,35,42,cbd,jld,4.5,2.0,3.0,4.0,3.0
BUKIT PANJANG,3.43,C,37,22,28,55,37,jld,changi,3.0,4.5,4.0,2.0,3.0
CHOA CHU KANG,3.43,C,40,22,30,57,28,jld,changi,3.0,4.5,4.0,1.0,4.0
TENGAH,3.35,C,40,15,30,60,55,jld,changi,3.0,5.0,4.0,1.0,2.0
TAMPINES,3.25,C,32,50,42,15,55,changi,woodlands_rc,4.0,2.0,3.0,5.0,2.0
HOUGANG,3.25,C,30,55,40,32,43,cbd,jld,4.0,2.0,3.0,4.0,3.0
TAMPINES WEST,3.2,C,30,48,40,20,53,changi,woodlands_rc,4.0,2.0,3.0,4.5,2.0
LENTOR,3.2,C,28,52,38,50,18,woodlands_rc,jld,4.0,2.0,3.0,2.0,4.5
ANG MO KIO,3.15,C,30,52,42,50,28,woodlands_rc,jld,4.0,2.0,3.0,2.0,4.0
TAMPINES EAST,3.1,C,35,53,45,18,57,changi,woodlands_rc,4.0,2.0,3.0,4.5,1.0
SENGKANG,2.9,D,35,58,45,30,47,changi,jld,4.0,1.0,3.0,4.0,2.0
PASIR RIS,2.6,D,40,55,47,12,62,changi,woodlands_rc,3.0,2.0,2.0,5.0,1.0
YISHUN,2.4,F,37,57,48,54,20,woodlands_rc,jld,3.0,1.0,2.0,2.0,4.5
CANBERRA,2.35,F,40,60,52,58,12,woodlands_rc,jld,3.0,1.0,2.0,1.0,5.0
PUNGGOL,2.35,F,40,62,50,28,52,changi,jld,3.0,1.0,2.0,4.0,2.0
SEMBAWANG,2.35,F,42,62,54,60,14,woodlands_rc,jld,3.0,1.0,2.0,1.0,5.0
WOODLANDS,2.35,F,45,62,55,62,8,woodlands_rc,jld,3.0,1.0,2.0,1.0,5.0
