Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BOTANIQUE AT BARTLEY,"1,293,888",656.6,"1,971",Jun-26,UPPER PAYA LEBAR ROAD,Resale,Strata,61,"21,211",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
WATERTOWN,"900,000",581.26,"1,548",Jun-26,PUNGGOL CENTRAL,Resale,Strata,54,"16,667",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
SPACE @ KOVAN,"783,666",548.96,"1,428",Jun-26,YIO CHU KANG ROAD,Resale,Strata,51,"15,366",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE QUARTZ,"1,780,000","1,140.98","1,560",Jun-26,COMPASSVALE BOW,Resale,Strata,106,"16,792",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,16 to 20
THE QUINN,"2,980,000","1,733","1,720",Jun-26,BARTLEY ROAD,Resale,Strata,161,"18,509",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE LUXURIE,"2,930,000","2,163.56","1,354",Jun-26,COMPASSVALE ROAD,Resale,Strata,201,"14,577",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
RIVER ISLES,"2,100,000","1,442.38","1,456",Jun-26,EDGEDALE PLAINS,Resale,Strata,134,"15,672",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
RIVERSAILS,"1,730,000","1,108.69","1,560",Jun-26,UPPER SERANGOON CRESCENT,Resale,Strata,103,"16,796",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"890,000",484.38,"1,837",Jun-26,HOUGANG AVENUE 2,Resale,Strata,45,"19,778",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
RIVERFRONT RESIDENCES,"1,280,000",721.19,"1,775",Jun-26,HOUGANG AVENUE 7,Resale,Strata,67,"19,104",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
