Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
HORIZON GREEN,"3,080,000","3,196.91",963,Jun-26,ANG MO KIO AVENUE 2,Resale,Strata,297,"10,370",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
HORIZON GREEN,"2,975,000","3,132.32",950,Apr-26,ANG MO KIO AVENUE 2,Resale,Strata,291,"10,223",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
THOMSON GRAND,"4,010,000","5,317.42",754,Apr-26,SIN MING WALK,Resale,Strata,494,"8,117",-,Terrace House,1,99 yrs lease commencing from 2010,20,Rest of Central Region,-
HORIZON GARDENS,"2,920,000","2,992.39",976,Mar-26,ANG MO KIO AVENUE 2,Resale,Strata,278,"10,504",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
CENTURION 12,"4,150,000","3,670.52","1,131",Mar-26,BRIGHT HILL CRESCENT,Resale,Strata,341,"12,170",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
THOMSON THREE,"3,795,000","3,293.78","1,152",Mar-26,BRIGHT HILL DRIVE,Resale,Strata,306,"12,402",-,Semi-Detached House,1,99 yrs lease commencing from 2012,20,Rest of Central Region,-
HORIZON GREEN,"3,230,000","3,272.26",987,Feb-26,ANG MO KIO AVENUE 2,Resale,Strata,304,"10,625",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
HORIZON GREEN,"3,068,000","3,196.91",960,Dec-25,ANG MO KIO AVENUE 2,Resale,Strata,297,"10,330",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
THE WINDSOR,"3,900,000","2,497.25","1,562",Nov-25,ONTARIO AVENUE,Resale,Strata,232,"16,810",-,Terrace House,1,Freehold,20,Rest of Central Region,01 to 05
HORIZON GARDENS,"2,770,000","2,798.64",990,Oct-25,ANG MO KIO AVENUE 2,Resale,Strata,260,"10,654",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
HORIZON GARDENS,"2,858,888","3,035.45",942,Oct-25,ANG MO KIO AVENUE 2,Resale,Strata,282,"10,138",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
HORIZON GREEN,"3,300,000","3,616.7",912,Sep-25,ANG MO KIO AVENUE 2,Resale,Strata,336,"9,821",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
HORIZON GARDENS,"2,780,000","2,873.99",967,Sep-25,ANG MO KIO AVENUE 2,Resale,Strata,267,"10,412",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
THOMSON GRAND,"4,900,000","6,135.48",799,Sep-25,SIN MING WALK,Resale,Strata,570,"8,596",-,Terrace House,1,99 yrs lease commencing from 2010,20,Rest of Central Region,-
