Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
ALANA,"3,405,000","3,121.56","1,091",Jun-26,SUNRISE TERRACE,Resale,Strata,290,"11,741",-,Terrace House,1,103 yrs lease commencing from 2013,28,Outside Central Region,-
CABANA,"2,780,000","2,938.57",946,Jun-26,SUNRISE TERRACE,Resale,Strata,273,"10,183",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
CABANA,"2,917,000","2,917.04","1,000",May-26,SUNRISE TERRACE,Resale,Strata,271,"10,764",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
BELGRAVIA VILLAS,"4,350,000","3,961.15","1,098",May-26,BELGRAVIA DRIVE,Resale,Strata,368,"11,821",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
CABANA,"2,860,888","2,938.57",974,May-26,SUNRISE TERRACE,Resale,Strata,273,"10,479",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
CABANA,"3,033,680","2,917.04","1,040",May-26,SUNRISE TERRACE,Resale,Strata,271,"11,194",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
CABANA,"2,688,888","3,046.21",883,May-26,SUNRISE TERRACE,Resale,Strata,283,"9,501",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
CABANA,"2,622,000","2,938.57",892,Apr-26,SUNRISE TERRACE,Resale,Strata,273,"9,604",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
CABANA,"2,900,000","3,067.74",945,Apr-26,SUNRISE TERRACE,Resale,Strata,285,"10,175",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
SELETAR VIEW,"3,320,000","3,293.78","1,008",Apr-26,SELETAR HILLS DRIVE,Resale,Strata,306,"10,850",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
CABANA,"2,750,000","2,917.04",943,Apr-26,SUNRISE TERRACE,Resale,Strata,271,"10,148",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
CABANA,"2,888,888","2,992.39",965,Apr-26,SUNRISE TERRACE,Resale,Strata,278,"10,392",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
ALANA,"2,580,000","2,755.58",936,Apr-26,SUNRISE TERRACE,Resale,Strata,256,"10,078",-,Terrace House,1,103 yrs lease commencing from 2013,28,Outside Central Region,-
CABANA,"2,946,170","2,917.04","1,010",Mar-26,SUNRISE TERRACE,Resale,Strata,271,"10,871",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
ALANA,"3,438,000","3,121.56","1,101",Mar-26,SUNRISE TERRACE,Resale,Strata,290,"11,855",-,Terrace House,1,103 yrs lease commencing from 2013,28,Outside Central Region,-
HIGH PARK RESIDENCES,"2,900,000","2,346.55","1,236",Mar-26,FERNVALE ROAD,Resale,Strata,218,"13,303",-,Semi-Detached House,1,99 yrs lease commencing from 2014,28,Outside Central Region,-
ESTE VILLA,"3,662,000","3,422.95","1,070",Feb-26,NIM ROAD,Resale,Strata,318,"11,516",-,Terrace House,1,Freehold,28,Outside Central Region,-
ESTE VILLA,"3,485,000","3,358.37","1,038",Feb-26,NIM ROAD,Resale,Strata,312,"11,170",-,Terrace House,1,Freehold,28,Outside Central Region,-
BELGRAVIA VILLAS,"4,238,000","3,767.4","1,125",Feb-26,BELGRAVIA DRIVE,Resale,Strata,350,"12,109",-,Terrace House,1,Freehold,28,Outside Central Region,-
CABANA,"2,917,000","2,917.04","1,000",Jan-26,SUNRISE TERRACE,Resale,Strata,271,"10,764",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
CABANA,"2,708,000","2,917.04",928,Jan-26,SUNRISE TERRACE,Resale,Strata,271,"9,993",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
