Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE ESTA,"3,388,888","1,345.5","2,519",Jun-26,AMBER GARDENS,Resale,Strata,125,"27,111",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
COSTA RHU,"3,275,000","1,776.06","1,844",Jun-26,RHU CROSS,Resale,Strata,165,"19,848",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
THE CONTINUUM,"3,551,000","1,237.86","2,869",Jun-26,THIAM SIEW AVENUE,New Sale,Strata,115,"30,878",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
THE MEYER PLACE,"3,100,000","1,453.14","2,133",Jun-26,MEYER PLACE,Resale,Strata,135,"22,963",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
NEPTUNE COURT,"1,828,888","1,636.13","1,118",Jun-26,MARINE VISTA,Resale,Strata,152,"12,032",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,06 to 10
TREESCAPE,"793,000",430.56,"1,842",Jun-26,LORONG N TELOK KURAU,Resale,Strata,40,"19,825",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
JUPITER 18,"1,100,000",850.36,"1,294",Jun-26,LORONG 102 CHANGI,Resale,Strata,79,"13,924",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE CONTINUUM,"5,330,000","1,905.23","2,798",Jun-26,THIAM SIEW AVENUE,New Sale,Strata,177,"30,113",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
SANTA FE MANSIONS,"1,825,000","1,076.4","1,695",Jun-26,MARGATE ROAD,Resale,Strata,100,"18,250",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AMBER SKYE,"3,480,000","1,334.74","2,607",Jun-26,AMBER ROAD,Resale,Strata,124,"28,065",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
MANDARIN GARDENS,"1,955,500","1,528.49","1,279",Jun-26,SIGLAP ROAD,Resale,Strata,142,"13,771",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,06 to 10
VILLA MARINA,"2,140,000","1,646.89","1,299",Jun-26,JALAN SEMPADAN,Resale,Strata,153,"13,987",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
THE CONTINUUM,"4,130,000","1,453.14","2,842",Jun-26,THIAM SIEW AVENUE,New Sale,Strata,135,"30,593",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
ROXY SQUARE,"1,800,000","1,259.39","1,429",Jun-26,EAST COAST ROAD,Resale,Strata,117,"15,385",-,Apartment,1,9999 yrs lease commencing from 1995,15,Rest of Central Region,06 to 10
LIV @ MB,"2,250,000",871.88,"2,581",Jun-26,ARTHUR ROAD,Sub Sale,Strata,81,"27,778",-,Condominium,1,99 yrs lease commencing from 2021,15,Rest of Central Region,01 to 05
RIVEREDGE,"2,575,000","1,517.72","1,697",Jun-26,SAMPAN PLACE,Resale,Strata,141,"18,262",-,Condominium,1,99 yrs lease commencing from 2004,15,Rest of Central Region,06 to 10
PARK COURT,"1,308,000",925.7,"1,413",Jun-26,LORONG 101 CHANGI,Resale,Strata,86,"15,209",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
BUTTERWORTH 8,"2,100,000","1,022.58","2,054",Jun-26,BUTTERWORTH LANE,Resale,Strata,95,"22,105",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
FLAMINGO VALLEY,"980,000",581.26,"1,686",Jun-26,SIGLAP ROAD,Resale,Strata,54,"18,148",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
MEYER BLUE,"5,209,000","1,517.72","3,432",Jun-26,MEYER ROAD,New Sale,Strata,141,"36,943",-,Apartment,1,Freehold,15,Rest of Central Region,21 to 25
AXIS @ SIGLAP,"1,700,000","1,001.05","1,698",Jun-26,EAST COAST TERRACE,Resale,Strata,93,"18,280",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
WATER PLACE,"2,380,000","1,216.33","1,957",Jun-26,TANJONG RHU ROAD,Resale,Strata,113,"21,062",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,11 to 15
TEMBUSU GRAND,"1,908,000",742.72,"2,569",Jun-26,JALAN TEMBUSU,Sub Sale,Strata,69,"27,652",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05
AMBER 45,"2,980,000","1,130.22","2,637",Jun-26,AMBER ROAD,Resale,Strata,105,"28,381",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
EVERITT EDGE,"730,000",430.56,"1,695",Jun-26,JOO CHIAT PLACE,Resale,Strata,40,"18,250",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MARSHALL LODGE,"2,680,000","1,776.06","1,509",Jun-26,MARSHALL ROAD,Resale,Strata,165,"16,242",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE CONTINUUM,"1,480,000",559.73,"2,644",Jun-26,THIAM SIEW AVENUE,New Sale,Strata,52,"28,462",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
SEASIDE RESIDENCES,"1,600,000",678.13,"2,359",Jun-26,SIGLAP LINK,Resale,Strata,63,"25,397",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,11 to 15
THE CONTINUUM,"5,187,000","1,905.23","2,723",Jun-26,THIAM SIEW AVENUE,New Sale,Strata,177,"29,305",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
GRAND DUNMAN,"2,582,000","1,044.11","2,473",Jun-26,DUNMAN ROAD,New Sale,Strata,97,"26,619",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05
SEVENTY SAINT PATRICK'S,"2,990,000","1,184.04","2,525",Jun-26,ST. PATRICK'S ROAD,Resale,Strata,110,"27,182",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
VILLA MARINA,"2,065,000","1,280.92","1,612",Jun-26,JALAN SEMPADAN,Resale,Strata,119,"17,353",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
16 @ AMBER,"780,000",419.8,"1,858",Jun-26,AMBER ROAD,Resale,Strata,39,"20,000",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
THE ODEON KATONG,"995,000",581.26,"1,712",Jun-26,EAST COAST ROAD,Resale,Strata,54,"18,426",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
